subject,level,total_dist_in_lvl,total_time_in_lvl,det,rmi,ood
1,_level_1,1667.009276129191,163.68289184570313,0.40026714158504006,0.6997873709158655,1
1,_level_10,1509.362633421765,139.4564208984375,0.14313919052319843,0.4744257559429004,1
1,_level_2,929.1387846844036,96.0328369140625,0.6932367149758454,0.8391056286481294,1
1,_level_3,1418.7583061620032,131.68731689453125,0.24020552344251767,0.5559276639428847,1
1,_level_4,1702.754316279239,166.0250244140625,0.2561247216035635,0.5649978713824528,1
1,_level_5,1461.103472799495,138.483642578125,0.2542885973763875,0.560706396515205,1
1,_level_6,879.4185880084715,85.18701171875,0.5409836065573771,0.7541915605313655,1
1,_level_7,1267.406594263374,124.43658447265625,0.13607188703465983,0.48268715572357934,1
1,_level_8,1091.8839659283685,108.09698486328125,0.47848101265822784,0.7676201812606485,1
1,_level_9,1340.9488360558125,449.781681060791,0.20470896010464357,0.4612880517501339,1
3,_level_1,1747.7353284910616,166.37469482421875,0.14135802469135803,0.5419143304193507,1
3,_level_10,2021.7856563897499,181.3670654296875,0.09318323952470293,0.41162734165990544,1
3,_level_2,1018.8863225081116,90.25054931640614,0.6230769230769231,0.8101371040524017,1
3,_level_3,1736.9125315272904,143.54916381835938,0.1083969465648855,0.44992291961412667,1
3,_level_4,2058.3628372574417,186.23349380493167,0.11403508771929824,0.4389314630246661,1
3,_level_5,1593.8217222050655,142.21607971191406,0.15973741794310722,0.532666556822274,1
3,_level_6,1004.9603081239776,81.16931152343739,0.3209054593874834,0.648690522972571,1
3,_level_7,1385.4181111672485,124.12109375,0.11672278338945005,0.4787213787098288,1
3,_level_8,1109.7371597657188,97.437744140625,0.09182736455463728,0.493244541481331,1
3,_level_9,1608.5896896111885,140.8299560546875,0.13685550604710375,0.4983256324700982,1
4,_level_1,2124.6837829802485,144.0460205078125,0.08203677510608204,0.2679404909376326,1
4,_level_10,1876.864165760371,162.343017578125,0.025914634146341462,0.28362008721462095,1
4,_level_2,1132.4007338653744,101.6739501953125,0.044189852700491,0.341556177505729,1
4,_level_3,1730.936550775302,160.09396362304685,0.0945054945054945,0.3437047146912011,1
4,_level_5,1757.5814661909887,127.4320068359375,0.13027744270205066,0.4631702495298414,1
4,_level_6,1259.9862566082254,84.47601318359375,0.23917525773195877,0.4936397192516413,1
4,_level_7,1206.674650354708,115.47900390625,0.08933002481389578,0.354885961171441,1
4,_level_8,1174.9955375946954,113.27874755859375,0.2430858806404658,0.46483397862779796,1
4,_level_9,1866.462891774683,173.06399536132813,0.08743718592964825,0.40808067521499125,1
6,_level_1,1820.3403769748913,328.06336212158203,0.04020979020979021,0.3700319880944557,1
6,_level_10,1603.3435760987775,251.7059326171875,0.014258188824662813,0.319543388135448,1
6,_level_2,1323.4324609119024,182.30328369140625,0.23042836041358936,0.5444334652544449,1
6,_level_3,1447.484614178454,222.43798828125,0.02719343252950231,0.2979139654656968,1
6,_level_4,3911.3673080734748,612.4977531433105,0.023446942228668118,0.3344273891326073,1
6,_level_5,1690.4259127044072,237.83203125,0.016614745586708203,0.23316125609154958,1
6,_level_6,1209.3971721036255,167.40399169921875,0.12372634643377002,0.38855528055190125,1
6,_level_7,1670.385213809558,222.13800048828125,0.08066581306017925,0.39643636994341636,1
6,_level_8,1419.8452062142048,201.0040283203125,0.12481857764876633,0.4087440695858111,1
6,_level_9,1509.6652207334914,215.3790283203125,0.030949105914718018,0.38467074064262197,1
7,_level_1,1784.5861700578178,157.05502319335938,0.08292383292383293,0.46621400126704016,1
7,_level_10,1767.4703611784398,149.17691040039063,0.02704056084126189,0.3426736181207535,1
7,_level_2,1236.9414185052647,106.7218017578125,0.06073752711496746,0.37118587849425333,1
7,_level_3,1730.332180637894,146.74990844726563,0.10099573257467995,0.4592132545434253,1
7,_level_4,1656.2677931807252,140.5570068359375,0.3230429988974642,0.6031335187408036,1
7,_level_5,1658.695858882755,145.37030029296875,0.07766990291262135,0.3391698541391309,1
7,_level_6,1021.3718060873529,87.56201171875,0.18640776699029127,0.503067592856447,1
7,_level_7,1462.5745892670996,128.51654052734364,0.08733624454148471,0.43447956676331234,1
7,_level_8,1177.84725381141,101.4234619140625,0.19642857142857142,0.4123594518008855,1
7,_level_9,1610.4187682809788,136.52734375,0.18440860215053764,0.47512282692535757,1
8,_level_1,1608.638239621006,135.92968750000006,0.11033681765389082,0.48395050984162435,1
8,_level_10,1583.1826805436488,138.2233886718751,0.11252511721366376,0.41131029934384866,1
8,_level_2,1053.270728187826,97.7098617553711,0.3360995850622407,0.6423469657665113,1
8,_level_3,1418.240175855524,125.18008422851563,0.1723202170963365,0.552178169454328,1
8,_level_4,1773.271665912256,152.51019287109375,0.10423825887743414,0.3512563413600578,1
8,_level_5,1493.3929024751342,131.02850341796875,0.04847908745247148,0.4481212073207582,1
8,_level_6,841.6850411487211,76.3680419921875,0.36755952380952384,0.6234792055790814,1
8,_level_7,1133.6252239034472,105.4759521484375,0.043758043758043756,0.4839438396070168,1
8,_level_8,1097.1349899478528,97.497802734375,0.5087956698240866,0.7555903908015476,1
8,_level_9,1439.4168482727775,131.65936279296875,0.1486570893191755,0.5030676015601925,1
